date,price
Feb-13,95.31
Mar-13,92.94
Apr-13,92.02
May-13,94.51
Jun-13,95.77
Jul-13,104.67
Aug-13,106.57
Sep-13,106.29
Oct-13,100.54
Nov-13,93.86
Dec-13,97.63
Jan-14,94.62
Feb-14,100.82
Mar-14,100.8
Apr-14,102.07
May-14,102.18
Jun-14,105.79
Jul-14,103.59
Aug-14,96.54
Sep-14,93.21
Oct-14,84.4
Nov-14,75.79
Dec-14,59.29
Jan-15,47.22
Feb-15,50.58
Mar-15,47.82
Apr-15,54.45
May-15,59.27
Jun-15,59.82
Jul-15,50.9
Aug-15,42.87
Sep-15,45.48
Oct-15,46.22
Nov-15,42.44
Dec-15,37.19
Jan-16,31.68
Feb-16,30.32
Mar-16,37.55
Apr-16,40.75
May-16,46.71
Jun-16,48.76
Jul-16,44.65
Aug-16,44.72
Sep-16,45.18
Oct-16,49.78
Nov-16,45.66
Dec-16,51.97
Jan-17,52.5
Feb-17,53.47
Mar-17,49.33
Apr-17,51.06
May-17,48.48
Jun-17,45.18
Jul-17,46.63
Aug-17,48.04
Sep-17,49.82
Oct-17,51.58
Nov-17,56.64
Dec-17,57.88
Jan-18,63.7
Feb-18,62.23
Mar-18,62.73
Apr-18,66.25
May-18,69.98
Jun-18,67.87
Jul-18,70.98
Aug-18,68.06
Sep-18,70.23
Oct-18,70.75
Nov-18,56.96
Dec-18,49.52
Jan-19,51.38
Feb-19,54.95
Mar-19,58.15
Apr-19,63.86
May-19,60.83
Jun-19,54.66
Jul-19,57.35
Aug-19,54.81
Sep-19,56.95
Oct-19,53.96
Nov-19,57.03
Dec-19,59.88
Jan-20,57.52
Feb-20,50.54
Mar-20,29.21
Apr-20,16.55
May-20,28.56
Jun-20,38.31
Jul-20,40.71
Aug-20,42.34
Sep-20,39.63
Oct-20,39.4
Nov-20,40.94
Dec-20,47.02
Jan-21,52
Feb-21,59.04
Mar-21,62.33
Apr-21,61.72
May-21,65.17
Jun-21,71.38
Jul-21,72.49
Aug-21,67.73
Sep-21,71.65
